подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";о + loct;"количество примеров для колонки ""о + loct""";о + gent;"количество примеров для колонки ""о + gent""";к + gent;"количество примеров для колонки ""к + gent""";к + accs;"количество примеров для колонки ""к + accs""";по + datv;"количество примеров для колонки ""по + datv""";непрямое дополнение, loc2;"количество примеров для колонки ""непрямое дополнение, loc2""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv""";о + datv;"количество примеров для колонки ""о + datv""";в + datv;"количество примеров для колонки ""в + datv""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";в + loct;"количество примеров для колонки ""в + loct""";для + gent;"количество примеров для колонки ""для + gent""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";на + nomn;"количество примеров для колонки ""на + nomn""";по + nomn;"количество примеров для колонки ""по + nomn""";на + accs;"количество примеров для колонки ""на + accs""";на + gent;"количество примеров для колонки ""на + gent""";относительно + gent;"количество примеров для колонки ""относительно + gent""";по + gent;"количество примеров для колонки ""по + gent""";с + ablt;"количество примеров для колонки ""с + ablt""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";из + gent;"количество примеров для колонки ""из + gent""";в + gent;"количество примеров для колонки ""в + gent""";после + gent;"количество примеров для колонки ""после + gent""";для + nomn;"количество примеров для колонки ""для + nomn""";к + datv;"количество примеров для колонки ""к + datv""";в + accs;"количество примеров для колонки ""в + accs""";на + loct;"количество примеров для колонки ""на + loct""";при + loct;"количество примеров для колонки ""при + loct"""
отрезок;2;расположение;1;классификация;1;прямая;1;отрезок;1;сторона;1;угол;5;катет;4;окружность;1;глава;1;площадь;4;введение;1;треугольник;1;образ;4;число;1;литр;1;решение;1;плоскость;1;прямая;1;аналогия;1;теорема;1;закон;1;признак;1;древность;1;задача;1;высказывание;1;глава;1;заключение;1;множество;1;условие;1
декарт;1;;;;;;;;;;;;;вектор;1;;;;;область;1;;;;;аксиома;1;;;;;;;;;;;;;;;теорема;6;;;;;;;;;;;;;;;;
признак;2;;;;;;;;;;;;;окружность;1;;;;;вписанность;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
утверждение;1;;;;;;;;;;;;;;;;;;;описанность;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
условие;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
плата;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
