в + loct;"количество примеров для колонки ""в + loct""";на + loct;"количество примеров для колонки ""на + loct""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";с + ablt;"количество примеров для колонки ""с + ablt""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";из + gent;"количество примеров для колонки ""из + gent""";на + ablt;"количество примеров для колонки ""на + ablt""";около + gent;"количество примеров для колонки ""около + gent""";на + gent;"количество примеров для колонки ""на + gent""";при + loct;"количество примеров для колонки ""при + loct""";по + loct;"количество примеров для колонки ""по + loct""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";между + ablt;"количество примеров для колонки ""между + ablt""";от + gent;"количество примеров для колонки ""от + gent""";по + datv;"количество примеров для колонки ""по + datv""";в + gent;"количество примеров для колонки ""в + gent"""
вид;1;рисунок;1;сила;1;отрезок;1;помощь;1;стрелка;1;точка;1;поворот;1;прямая;1;плоскость;1;выбор;1;форма;1;чертёж;1;отрезка;1;выбор;1;традиция;1;проекция;1
;;;;фигура;1;вектор;1;;;направление;1;;;;;;;;;;;;;;;;;;;;;;
;;;;сфера;2;четырёхугольник;1;;;поверхность;1;;;;;;;;;;;;;;;;;;;;;;
;;;;угол;1;;;;;часть;1;;;;;;;;;;;;;;;;;;;;;;
;;;;шар;1;;;;;шар;1;;;;;;;;;;;;;;;;;;;;;;
;;;;сумма;1;;;;;ряд;1;;;;;;;;;;;;;;;;;;;;;;
