о + accs;"количество примеров для колонки ""о + accs""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";на + nomn;"количество примеров для колонки ""на + nomn""";о + nomn;"количество примеров для колонки ""о + nomn""";из + nomn;"количество примеров для колонки ""из + nomn""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";из + gent;"количество примеров для колонки ""из + gent""";в + nomn;"количество примеров для колонки ""в + nomn""";о + gent;"количество примеров для колонки ""о + gent"""
множество;1;множество;1;треугольник;1;точка;1;точка;1;плоскость;5;ось;1;окружность;1;прямая;1
;;угол;1;;;;;;;многоугольник;1;;;;;;
;;трапеция;1;;;;;;;диагональ;1;;;;;;
;;дуга;1;;;;;;;пространство;1;;;;;;
;;призма;1;;;;;;;;;;;;;;
