при + loct;"количество примеров для колонки ""при + loct""";на + gent;"количество примеров для колонки ""на + gent""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";в + nomn;"количество примеров для колонки ""в + nomn""";в + gent;"количество примеров для колонки ""в + gent""";по + datv;"количество примеров для колонки ""по + datv""";с + ablt;"количество примеров для колонки ""с + ablt""";при + nomn;"количество примеров для колонки ""при + nomn""";при + gent;"количество примеров для колонки ""при + gent""";о + nomn;"количество примеров для колонки ""о + nomn""";для + gent;"количество примеров для колонки ""для + gent"""
движение;1;плоскость;1;отрезок;3;фигура;1;точка;1;стрелка;1;измерение;1;фигура;1;симметрия;1;окружность;1;построение;1
;;;;точка;1;;;;;;;;;;;;;;;;
;;;;треугольник;2;;;;;;;;;;;;;;;;
;;;;прямая;6;;;;;;;;;;;;;;;;
;;;;фигура;4;;;;;;;;;;;;;;;;
;;;;вершина;1;;;;;;;;;;;;;;;;
;;;;конец;1;;;;;;;;;;;;;;;;
;;;;окружность;1;;;;;;;;;;;;;;;;
