с + ablt;"количество примеров для колонки ""с + ablt""";в + loct;"количество примеров для колонки ""в + loct""";по + datv;"количество примеров для колонки ""по + datv""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";на + loct;"количество примеров для колонки ""на + loct""";в + nomn;"количество примеров для колонки ""в + nomn""";из + gent;"количество примеров для колонки ""из + gent""";с + gent;"количество примеров для колонки ""с + gent"""
координата;1;случай;1;аксиома;1;отрезок;3;луч;1;точка;1;ось;1;боков;1
;;;;;;точка;2;;;;;;;;
;;;;;;луч;1;;;;;;;;
