между + ablt;"количество примеров для колонки ""между + ablt""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";в + gent;"количество примеров для колонки ""в + gent""";при + loct;"количество примеров для колонки ""при + loct""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";в + nomn;"количество примеров для колонки ""в + nomn""";с + ablt;"количество примеров для колонки ""с + ablt"""
прямая;1;движение;2;угол;12;отрезка;1;вращение;1;луч;1;прямая;1;ребро;1
;;расстояние;4;величина;2;;;;;источник;1;;;;
;;ряд;1;отношение;1;;;;;;;;;;
;;перемещение;1;ориентация;1;;;;;;;;;;
;;год;2;;;;;;;;;;;;
;;октаэдр;1;;;;;;;;;;;;
