на + accs;"количество примеров для колонки ""на + accs""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";на + gent;"количество примеров для колонки ""на + gent""";из + gent;"количество примеров для колонки ""из + gent""";на + voct;"количество примеров для колонки ""на + voct""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";с + accs;"количество примеров для колонки ""с + accs""";согласно + datv;"количество примеров для колонки ""согласно + datv""";на + nomn;"количество примеров для колонки ""на + nomn""";о + nomn;"количество примеров для колонки ""о + nomn""";о + gent;"количество примеров для колонки ""о + gent""";о + loct;"количество примеров для колонки ""о + loct""";к + nomn;"количество примеров для колонки ""к + nomn""";из + nomn;"количество примеров для колонки ""из + nomn""";внутри + nomn;"количество примеров для колонки ""внутри + nomn""";для + gent;"количество примеров для колонки ""для + gent""";на + loct;"количество примеров для колонки ""на + loct""";в + loct;"количество примеров для колонки ""в + loct""";внутри + gent;"количество примеров для колонки ""внутри + gent""";к + datv;"количество примеров для колонки ""к + datv"""
гипотенуза;1;перпендикуляр;19;сторона;1;метр;1;ось;1;точка;2;высота;1;свойство;1;плоскость;1;перпендикуляр;1;шар;1;несовпадение;1;перпендикуляр;1;перпендикуляр;1;основание;1;доказательство;1;эллипс;1;точка;1;угол;1;ребро;1
;;век;1;;;;;;;длина;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;плоскость;2;;;;;;;высота;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;основание;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;отрезка;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;диаметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
