на + gent;"количество примеров для колонки ""на + gent""";подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";на + accs;"количество примеров для колонки ""на + accs""";от + nomn;"количество примеров для колонки ""от + nomn""";на + loct;"количество примеров для колонки ""на + loct""";от + gent;"количество примеров для колонки ""от + gent""";непрямое дополнение, loct;"количество примеров для колонки ""непрямое дополнение, loct""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";от + datv;"количество примеров для колонки ""от + datv""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";из + nomn;"количество примеров для колонки ""из + nomn""";в + loct;"количество примеров для колонки ""в + loct""";по + datv;"количество примеров для колонки ""по + datv""";с + ablt;"количество примеров для колонки ""с + ablt""";в + nomn;"количество примеров для колонки ""в + nomn"""
прямая;1;отрезок;1;хорда;1;конус;1;сторона;1;цилиндр;1;поверхность;1;пирамида;1;окружность;1;пирамида;2;часть;1;результат;1;теорема;1;ребро;1;образующая;1
;;разность;1;;;;;;;;;;;плоскость;1;;;тело;1;;;;;;;;;;
;;прямая;1;;;;;;;;;;;;;;;дуга;2;;;;;;;;;;
;;тетраэдр;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;;фигура;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;;литр;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;;сантиметр;1;;;;;;;;;;;;;;;;;;;;;;;;;;
