подлежащее, nomn;"количество примеров для колонки ""подлежащее, nomn""";с + ablt;"количество примеров для колонки ""с + ablt""";прямое дополнение, acc;"количество примеров для колонки ""прямое дополнение, acc""";непрямое дополнение, ablt;"количество примеров для колонки ""непрямое дополнение, ablt""";непрямое дополнение, datv;"количество примеров для колонки ""непрямое дополнение, datv"""
фигура;2;фигура;1;угол;2;наложение;5;фигура;2
отрезка;2;;;;;способ;1;окружность;2
